bank,floating,three_months,one_year,two_years,three_years,four_years,five_years,six_years,seven_years,eight_years,nine_years,ten_years,date
Avanza Bank,3.01,,,,,,,,,,,,2024-11-15
Bluestep,,5.9,,,5.7,,6.05,,,,,,2024-11-15
Danske Bank,,4.64,3.59,3.46,3.44,3.44,3.44,3.49,,,,3.69,2024-11-15
Handelsbanken,,4.79,3.89,3.49,3.49,,3.59,,,3.64,,3.74,2024-11-15
Hypoteket,,3.97,3.79,3.61,3.65,,3.74,,,,,,2024-11-15
ICA Banken,,4.23,3.75,3.69,3.7,3.82,3.87,,4.17,,,4.47,2024-11-15
Ikano Bank,,4.18,3.45,3.41,3.42,3.54,3.57,,3.93,,,4.23,2024-11-15
JAK Medlemsbank,,4.58,,,,,,,,,,,2024-11-15
Landshypotek,,3.8,3.59,3.45,3.45,3.5,3.55,,,3.69,,3.79,2024-11-15
Länsförsäkringar ,,4.74,3.74,3.49,3.45,3.49,3.54,,3.75,,,3.85,2024-11-15
Marginalen Bank,,5.73,5.73,5.73,5.73,,,,,,,,2024-11-15
Nordax Bank/NOBA Bank Group,,5.99,,,5.99,,5.99,,,,,,2024-11-15
Nordea,,4.74,3.98,3.63,3.63,3.63,3.68,,,3.74,,,2024-11-15
Nordnet,,3.4,,,,,,,,,,,2024-11-15
SBAB,,3.82,3.57,3.41,3.43,3.45,3.51,,3.61,,,3.71,2024-11-15
SEB,,4.74,3.74,3.54,3.59,,3.59,,3.74,,,3.79,2024-11-15
Skandiabanken,,4.32,3.98,3.87,3.87,,3.95,,,,,,2024-11-15
Stabelo,,3.29,3.26,3.04,3.06,,3.24,,,,,3.6,2024-11-15
Svea Bank,6.45,,,,,,,,,,,,2024-11-15
Swedbank ,,4.74,3.74,3.49,3.49,3.49,3.54,3.64,3.64,3.64,3.64,3.64,2024-11-15
Ålandsbanken,,4.75,3.65,3.55,3.55,3.55,3.6,,3.8,,,3.95,2024-11-15
